uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,Mappings|SAME-AS|PIH|Number,Mappings|SAME-AS|CIEL,Mappings|NARROWER-THAN|CIEL,Mappings|BROADER-THAN|CIEL,Mappings|SAME-AS|AMPATH,Mappings|NARROWER-THAN|AMPATH,Mappings|SAME-AS|ICD-10-WHO,Mappings|NARROWER-THAN|ICD-10-WHO,Mappings|BROADER-THAN|ICD-10-WHO,Mappings|SAME-AS|ICD-11-WHO,Mappings|NARROWER-THAN|ICD-11-WHO,Mappings|SAME-AS|LOINC,Mappings|NARROWER-THAN|LOINC,Mappings|BROADER-THAN|LOINC,Mappings|SAME-AS|org.openmrs.module.emrapi,Mappings|SAME-AS|RxNORM,Mappings|SAME-AS|SNOMED CT,Absolute high,Critical high,Normal high,Absolute low,Critical low,Normal low,Units,Display precision,Allow decimals,Complex data handler
166103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Last name,,,Question,Text,,,2724,,,,,,,,,,,,,,,,397678008,,,,,,,,,,
161359AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Private home-based care,,,Misc,N/A,,,,161359,,,,,,,,,,,,,,,66280005,,,,,,,,,,
160541AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Tuberculosis treatment program,TB Program,,Misc,N/A,,,,160541,,,,,,,,,,,,,,,,,,,,,,,,,
160542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Outpatient department,,,Misc,N/A,,,1651,160542,,,1965,,,,,,,,,,,,33022008,,,,,,,,,,
159938AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Home based HIV testing program,HCT program,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159939AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,mobile voluntary counseling and testing program,mobile VCT program,,Misc,Coded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159635AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Contact phone number,,Telephone number to contact person.,Question,Text,,,,,,,,,,,,,,,,,,,184103008,,,,,,,,,,
166102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,First name,,,Question,Text,,,2725,,,,,,,,,,,,,,,,408677003,,,,,,,,,,
165089AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,HIV-1 rapid recency assay,,,Test,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165915AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"Country of residence, coded",,,Finding,Coded,,,,,,,,,,,,,,,,,,,416647007,,,,,,,,,,
160082AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,HIV test result received date,,When did the patient receive the HIV test result?,Misc,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159940AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Voluntary counseling and testing center,VCT center,The office of the VCT program for HIV.,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133027AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Night sweats,,"Sleep hyperhidrosis, more commonly known as the night sweats, is the occurrence of excessive sweating (hyperhidrosis) during sleep. The sufferer may or may not also suffer from excessive perspiration while awake. Sleep hyperhidrosis may occur at any age, but is most commonly seen in early adulthood.ref: http://en.wikipedia.org/wiki/Night_sweats",Diagnosis,Boolean,,,6029,,,,6029,,,,,,,,,,,,42984000,,,,,,,,,,
135704AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Lives alone,,,Diagnosis,N/A,,,,,,,,,Z60.2,,,,,,,,,,105529008,,,,,,,,,,
138905AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Hemoptysis,,Bronchial hemorrhage manifested with spitting of blood.,Diagnosis,N/A,,,970,,,,967,,R04.2,,,,,,,,,,66857006,,,,,,,,,,
5489AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Mental health services,,none,Misc,N/A,,,,,,,5489,,,,,,,,,,,,390808007,,,,,,,,,,
5555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Married,,Wedded to another person.,Finding,N/A,,,,,,,5555,,,,,,,,,,,,87915002,,,,,,,,,,
5485AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Inpatient care or hospitalization,,none,Misc Order,N/A,,,1429,5485,,,5485,,,,,,,,,,,,394656005,,,,,,,,,,
5483AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Family planning services,,none,Procedure,Boolean,,,,,,,5483,,,,,,,,,,,,310031001,,,,,,,,,,
5576AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ARV for mother,,ARVs given for PMTCT to mother during antenatal period. See concept 159595 for during labor and delivery.,Procedure,Boolean,,,1446,,,,5576,,,,,,,,,,,,,,,,,,,,,,
5486AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Social support services,,none,Misc,Numeric,,,,,,,5486,,,,,,,,,,,,,,,,,,,,,0,
1459AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Diagnostic testing and counseling for HIV,DTC,Referral for diagnostic testing and counseling (DTC),Misc Order,Boolean,,,,,,,2177,,,,,,,,,,,,,,,,,,,,,,
1370AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Voluntary counseling and testing for HIV,VCT HIV,,Misc Order,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Fever lasting more than three weeks,,,Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Indeterminate,,"Descriptive term: not precisely defined, determinable, or established.",Misc,N/A,,,,1138,,,1138,,,,,,,,,,,,82334004,,,,,,,,,,
1611AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Referral for opportunistic infection treatment,,Referral to another institution for the purpose of evaluation or treatment of opportunistic infection (OI).,Misc Order,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Other non-coded,,"A generic, descriptive answer which is a handwritten, non-coded response to a question.",Misc,N/A,,,5622,5622,,,5622,,,,,,,,,,,,,,,,,,,,,,
1374AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dental care referral,Dental care,,Misc Order,Boolean,,,,,,,,,,,,,,,,,,,103697008,,,,,,,,,,
1275AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Health center hospital,,"Low acuity, short stay ""hospitals"" that are related to each clinical site.",Misc,N/A,,,,1275,,,1275,,,,,,,,,,,,,,,,,,,,,,
1167AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Disclosure counseling,,,Misc,N/A,,,,,,,1167,,,,,,,,,,,,,,,,,,,,,,
1304AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Poor sample quality,Psq,,Misc,N/A,,,,1304,,,1304,,,,,,,,,,,,,,,,,,,,,,
1373AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ophthalmology referral,Eye care,,Misc Order,Boolean,,,,,,,,,,,,,,,,,,,183543004,,,,,,,,,,
1371AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Prenatal care referral,Prenatal Care,,Misc Order,Boolean,,,,,,,,,,,,,,,,,,,183548008,,,,,,,,,,
1056AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Separated,,Answer which describes a type of civil status.,Misc,N/A,,,,,,,1056,,,,,,,,,,,,13184001,,,,,,,,,,
1059AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Widowed,,Answer which describes a type of civil status.,Misc,N/A,,,,,,,1059,,,,,,,,,,,,33553000,,,,,,,,,,
1354AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Village,Village,Village is the name of the location of residence. May also be called a city.,Question,Text,,,2710,,,,5940,,,,,,,,,,,,433178008,,,,,,,,,,
1492AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,History of HIV test,,In past 12 months,Question,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Divorced,,Answer which describes a type of civil status.,Misc,N/A,,,,,,,1058,,,,,,,,,,,,20295000,,,,,,,,,,
1057AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Never married,,Answer which describes a type of civil status.,Misc,N/A,,,,,,,1057,,,,,,,,,,,,125725006,,,,,,,,,,
1372AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Postnatal care referral,Postnatal Care,,Misc Order,Boolean,,,,,,,,,,,,,,,,,,,183861004,,,,,,,,,,
1473AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Name of health care provider,,,Question,Text,,,1392,1473,,,,,,,,,,,,,,,,,,,,,,,,,
1060AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Living with partner,,Answer which describes a type of civil status.,Misc,N/A,,,,,,,1060,,,,,,,,,,,,408821002,,,,,,,,,,
1054AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Civil status,Civ_stat,"More detailed description of the following encounter form question:  ""Are you currently married or living with a partner?""",Question,Coded,Divorced;Lives alone;Living with partner;Married;Never married;Other non-coded;Separated;Widowed,,3350,,,,1054,,,,,,,,,,,,365581002,,,,,,,,,,
664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Negative,,Response to a finding or test result.,Misc,N/A,,,664,664,,,664;665,,,,,,,,,,,,260385009,,,,,,,,,,
165095AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,General patient note,,A general patient note,Question,Text,,,,165095,,,,,,,,,,,,,,,,,,,,,,,,,
5092AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Arterial blood oxygen saturation (pulse oximeter),SpO2,"Oxygen saturation, as measured from a peripheral oximeter.",Test,Numeric,,,,5092,,,5092,,,,,,,,,,,,431314004,100,,,,89,92,%,,0,
5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Systolic blood pressure,SBP,A patient's systolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position),Finding,Numeric,,,5085,5085,,,5085,,,,,,,,,,,,271649006,250,180,140,,85,100,mmHg,,0,
5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Diastolic blood pressure,DBP,A patient's diastolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position),Finding,Numeric,,,5086,5086,,,5086,,,,,,,35094-2,,,,,271650006,150,120,90,,40,55,mmHg,,0,
5088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,TempÃÂÃÂÃÂÃÂ©rature (c),Temp (c),Patient's temperature in degrees centigrade.,Finding,Numeric,,,5088,5088,,,5088,,,,,,,,,,,,,43,,,,,,DEG C,,0,
5090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Height (cm),HT,Patient's height in centimeters.,Finding,Numeric,,,5090,5090,,,5090,,,,,,,,,,,,,272,,,,,,cm,,0,
5089AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Weight (kg),WT,Patient's weight in kilograms.,Finding,Numeric,,,5089,5089,,,5089,,,,,,,,,,,,,250,,,,,,kg,,0,
5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Pulse,HR,"Patient pulse rate, as measured with a peripheral oximeter.",Finding,Numeric,,,5087,5087,,,5087,,,,,,,,,,,,78564009,230,130,100,,49,55,beats/min,,0,
1343AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Mid-upper arm circumference,MUAC,"MUAC is the circumference of the left upper arm, measured at the mid-point between the tip of the shoulder and the tip of the elbow. MUAC is useful for the assessment of nutritional status.",Finding,Numeric,,,1290,1343,,,1343,,,,,,,,,,,,284473002,,,,,,,cm,,0,
5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Respiratory rate,RR,Measured respiratory rate in breaths per minute,Finding,Numeric,,,5242,5242,,,5242,,,,,,,,,,,,86290005,999,26,18,,8,12,breaths/min,,0,
5283AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Karnofsky performance score,KPS,Zero to 100 scale commonly used for assessing terminally ill patients.,Finding,Numeric,,,,5283,,,5283,,,,,,,,,,,,,,,,,,,%,0,0,
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Yes,,Generic answer to a question.,Misc,N/A,,,1065,1065,,,1065,,,,,,,,,,,,373066001,,,,,,,,,,
1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Unknown,,Generic answer to a question.,Misc,N/A,,,1067,1067,,,1067,,,,,,,,,,,,261665006,,,,,,,,,,
0016512d-4388-44f0-a4b6-f6ad9e18fdcd,,Mild persistent asthma (J45.9),Mild persistent asthma,,Diagnosis,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faf06026-fce9-4d2c-9ef2-24fb45343804,,Complaints of genital sores or swollen inguinal lymph nodes with or without pains,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8e46cc0-4d08-45d9-a46d-bd083db63057,,Complaints of scrotal swelling and pain (Male),,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60817acb-90f1-4d46-be87-2c47e150770b,,Complaints of urethral discharge or burning when urinating (Male),,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06be8996-ef55-438b-bbb9-5bebeb18e779,,Complaints of lower abdominal pains with or without  vaginal discharge (Female),,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a24bedc-d42c-422e-9f5d-371b59af0660,,Complaints of vaginal discharge or burning when urinating (Female),,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09472f39-6030-4f71-a8f2-30b2fdc734ed,,Couple Counselling,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02586245-99c3-4d47-ac34-7121156afeab,,Group Counselling,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c78532a-f2e8-4793-874e-90b0c9485cef,,Individual Counselling,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0473ec07-2f34-4447-9c58-e35a1c491b6f,,Type of Counselling Session,,,Question,Coded,Couple Counselling;Group Counselling;Individual Counselling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07a6f86e-388b-416e-b1ed-4b4e543a6406,,Months Since Last HIV Test,,,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
42dd1e18-00cb-471c-911c-cb254d5b01a5,,Community Level testing,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5995ebd5-11ae-47ca-ac12-bcb8c0117aec,,Facility Level Testing,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13abe5c9-6de2-4970-b348-36d352ee8eeb,,HTS Testing Location,,,Question,Coded,Community Level testing;Facility Level Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc1058ea-4edd-4780-aeaa-a474f7f3a437,,Refugees,,Refugees,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6924b2c-8f27-44d8-8228-9c5d2e8eae84,,Client Initiated Testing and Counselling,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
def00c73-f6d5-42fb-bcec-0b192b5be22d,,Fisher Folk,,Fisher Folk,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678f3144-302f-493e-ba22-7ec60a84732a,,Adolescent Girls & Young Women,,Adolescent Girls & Young Women,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7be3c0c-21bc-498d-a04c-ea7af01be5f9,,Intravenous Drug Users,,People who inject drugs intravenously,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b282bb08-62a7-42c2-9bea-8751c267d13e,,Uniformed Forces,,People in the uniformed/disciplined forces,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ea75cb-205f-4e7b-9ede-5f9b8a4dda9f,,Migrant Workers,,Migrant Workers,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22b202fc-67de-4af9-8c88-46e22559d4b2,,Transgender Persons,,Transgender persons,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da9bf92-22f6-40be-b468-1ad08de7d457,,Prisoners,,People living in prisons and other closed quarters (prisoners),Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437d1e25-e7ab-481c-aabc-01f21c6cdef1,,HTS Provider Remarks,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7398c91a-8db8-480d-8130-1a92cc208ded,,Inconclusive HIV Result,,Client with an inconclusive HIV result,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6ad599d-2bc4-47b7-81fe-a38e88867c1d,,Self Initiative,,Client's self initiative to get a HIV test,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e65e5fd-a1d8-4730-a991-75a1d703cba6,,HIV Self Test Positive,,Client who has a positive HIV Self Test,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e768c50-a239-45ff-9920-2c6a9352320e,,Index Client Testing,,Index Client Testing Other than APN,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb099534-b609-4561-9d4c-dd2fc74cedaf,,Assisted Partner Notification (APN),,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce3816e7-082d-496b-890b-a2b169922c22,,Reason for HIV Testing,,,Question,Coded,Assisted Partner Notification (APN);HIV Self Test Positive;Inconclusive HIV Result;Index Client Testing;Self Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Long distance truck driver,,,Misc,N/A,,,,162198,,,,,,,,,,,,,,,87447002,,,,,,,,,,
42ed45fd-f3f6-44b6-bfc2-8bde1bb41e00,,ATT DEFAULT ATTACHMENT,,Concept complex for 'default attachment' complex obs.,Question,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DefaultAttachmentHandler
7cac8397-53cd-4f00-a6fe-028e8d743f8e,,ATT IMAGE ATTACHMENT,,Concept complex for 'image attachments with thumbnails' complex obs.,Question,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ImageAttachmentHandler
780c8ff2-5e11-48f8-ad3d-efa36a0413f6,,HIV SD Bioline Kit,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d64d0d0-8dcb-4a56-819c-999d52f04db8,,HIV Stat Pack Kit,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a099ce71-d75e-433d-a782-0b9ad4f4f655,,HIV First Response Kit,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59ec348a-14a8-4e88-9b9e-72fa24b949fa,,HIV-Syphilis Duo Kit,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e318e60-3108-4468-90cd-7f2dc1c596a6,,HIV Determine Kit,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ac53e4f-c5c4-4bd9-a948-1df1fb73740a,,Hotspot,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b12b2d5e-9e9b-4af8-b326-a9de5ea0acfe,,Drop In Centre,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c15aecde-acac-49b6-bffe-cd1bb291c28b,,Workplace,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261855fb-32d6-43c3-b0bf-e8737db154f7,,Family Planning Clinic,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007b076-9e67-47e5-8e57-ee5d1331fbe0,,Post Natal Program,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165475AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Antenatal program,,,Program,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160552AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Nutrition program,,,Misc,N/A,,,1845,160552,,,,,,,,,,,,,,,,,,,,,,,,,
160546AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Sexually transmitted infection program/clinic,,,Misc,N/A,,,1786,160546,,,,,,,,,,,,,,,25681007,,,,,,,,,,
160545AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Outreach program,,,Misc,N/A,,,1785,160545,,,,,,,,,,,,,,,,,,,,,,,,,
74a3b695-30f7-403b-8f63-3f766461e104,,Community Service Delivery Point,,,Question,Coded,Drop In Centre;Home based HIV testing program;Hotspot;mobile voluntary counseling and testing program;Other non-coded;Outreach program;Voluntary counseling and testing center;Workplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162050AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Comprehensive care center,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164835AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Labor and delivery unit,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80bcc9c1-e328-47e8-affe-6d1bffe4adf1,,Facility Service Delivery Point,,,Question,Coded,Antenatal program;Comprehensive care center;Family Planning Clinic;Inpatient care or hospitalization;Labor and delivery unit;Nutrition program;Other non-coded;Outpatient department;Post Natal Program;Sexually transmitted infection program/clinic;Tuberculosis treatment program,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3205b6a-7192-461f-9ea8-a1ac8af38964,,Patient Clinic Identification Number,ART Number,Unique patient identification number assigned at the ART Clinic,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
65e18678-18db-4801-9625-50d3302c780c,,HIV Rapid Recency Test Conducted?,Recency Test Done?,Test for HIV recency if the final result is positive,Question,Coded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a27187f-da7a-4f6b-986d-6521f343326d,,Concordant Positive,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1504c2b-a8bf-44bf-ab1e-1d342ba051ae,,Concordant Negative,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2d2bea8-2db5-4730-86b1-592c9408f567,,Discordant,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f38bc97-d6ca-43f8-a019-b9a9647d0c6a,,Couple Results,,,Question,Coded,Concordant Negative;Concordant Positive;Discordant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846a63c0-4530-4008-b6a1-12201b9e0b88,,Support for Disclosure and Partner Services,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a046ce31-e0d9-4044-a384-ecc429dc4035,,Legal and Social Services,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea08440d-41d4-4795-bb4d-4639cf32645c,,Services for Responding to Violence Against Women,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d502927-7f21-4f72-bfc6-dc4d972ab1af,,Index Client ID Number,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deb58a7d-1c89-4ce4-bfd9-2276d5530089,,Contact With and Suspected Exposure,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a39d12-49c1-49aa-bd23-e8d505af8e93,,Drug Injecting Partner,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66916a5c-760f-4c12-ae91-71f83298eb40,,social contacts,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858f0f06-bc62-4b04-b864-cef98a2f3845,,Cotrimoxazole Chemoprophylaxis to Prevent Pneumocystis Carinii Pneumonia,,,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
